,rescheduling-gauss-time-retrained,converged_iterations,total_time
ft10_100_1,998.0,2069.0,381.8904228210449
ft10_100_2,995.0,1916.0,346.65641736984253
ft10_100_3,1024.0,2195.0,405.42244267463684
ft10_25_1,1000.0,1934.0,351.4920608997345
ft10_25_2,1004.0,2105.0,390.03308033943176
ft10_25_3,1055.0,1853.0,336.3178446292877
ft10_50_1,1002.0,1970.0,361.28193283081055
ft10_50_2,990.0,1772.0,318.4210743904114
ft10_50_3,1014.0,1835.0,330.97000312805176
ft10_75_1,987.0,1934.0,353.5368854999542
ft10_75_2,1016.0,1736.0,311.55725479125977
ft10_75_3,1010.0,1808.0,329.169558763504
la26_100_1,1274.0,2267.0,767.251766204834
la26_100_2,1244.0,3563.0,1269.8255624771118
la26_100_3,1286.0,2663.0,921.0493280887604
la26_25_1,1259.0,2915.0,1019.4054055213928
la26_25_2,1278.0,2942.0,651.0002689361572
la26_25_3,1278.0,2951.0,609.1249704360962
la26_50_1,1307.0,2591.0,523.7378826141357
la26_50_2,1265.0,2879.0,598.1839740276337
la26_50_3,1276.0,2744.0,566.5306169986725
la26_75_1,1270.0,2366.0,477.60587978363037
la26_75_2,1254.0,2960.0,608.099328994751
la26_75_3,1279.0,2420.0,489.2498803138733
la31_100_1,1788.0,4634.0,1501.8913097381592
la31_100_2,1785.0,5687.0,3061.2482578754425
la31_100_3,1777.0,4868.0,2655.212604522705
la31_25_1,1786.0,5291.0,2884.1715259552
la31_25_2,1782.0,4499.0,2344.352592229843
la31_25_3,1776.0,4706.0,2524.106540441513
la31_50_1,1787.0,5489.0,2976.0467607975006
la31_50_2,1781.0,5111.0,2770.7352080345154
la31_50_3,1776.0,4175.0,2082.4848477840424
la31_75_1,1789.0,5984.0,3277.375245809555
la31_75_2,1768.0,5165.0,2797.795427083969
la31_75_3,1777.0,4157.0,2264.2822918891907
ta21_100_1,1892.0,2600.0,1648.5608956813812
ta21_100_2,1835.0,2726.0,1739.0639100074768
ta21_100_3,1867.0,2672.0,1406.1734046936035
ta21_25_1,1863.0,2933.0,1268.034970998764
ta21_25_2,1861.0,2645.0,1092.865246772766
ta21_25_3,1867.0,3221.0,1429.695630788803
ta21_50_1,1843.0,2600.0,1140.9331855773926
ta21_50_2,1873.0,3311.0,1362.7646174430847
ta21_50_3,1867.0,2762.0,1079.2274465560913
ta21_75_1,1800.0,3257.0,1323.2368783950806
ta21_75_2,1828.0,3563.0,1432.7864954471588
ta21_75_3,1813.0,2915.0,1132.781266450882
ta41_100_1,2380.0,4814.0,3208.967866897583
ta41_100_2,2243.0,5363.0,3606.050903081894
ta41_100_3,2344.0,4805.0,3209.213523387909
ta41_25_1,2353.0,5399.0,3601.2361657619476
ta41_25_2,2327.0,5399.0,3547.57683801651
ta41_25_3,2317.0,5390.0,3604.125435590744
ta41_50_1,2326.0,5417.0,3601.672621011734
ta41_50_2,2367.0,5129.0,3399.8594443798065
ta41_50_3,2402.0,5408.0,3603.0780663490295
ta41_75_1,2313.0,4796.0,3195.01535987854
ta41_75_2,2322.0,5237.0,3605.6234912872314
ta41_75_3,2332.0,3473.0,3600.436858654022
