instance,rescheduling-gauss-time-reused-1,converged_iterations,total_time2,rescheduling-gauss-time-retrained,converged_iterations,total_time
ft10_100_1,1002,1601,295.249898,998,2069,381.8904228
ft10_100_2,988,1520,272.9370615,995,1916,346.6564174
ft10_100_3,981,1052,185.7663817,1024,2195,405.4224427
ft10_25_1,986,71,13.58195949,1000,1934,351.4920609
ft10_25_2,994,35,6.75058198,1004,2105,390.0330803
ft10_25_3,1024,494,89.80269742,1055,1853,336.3178446
ft10_50_1,987,350,64.3135829,1002,1970,361.2819328
ft10_50_2,988,1934,343.4997208,990,1772,318.4210744
ft10_50_3,989,53,9.311672449,1014,1835,330.9700031
ft10_75_1,991,575,99.70359802,987,1934,353.5368855
ft10_75_2,980,926,163.6093948,1016,1736,311.5572548
ft10_75_3,997,359,62.39068913,1010,1808,329.1695588
la26_100_1,1246,2420,812.7182193,1274,2267,767.2517662
la26_100_2,1243,2159,743.7256031,1244,3563,1269.825562
la26_100_3,1241,2546,903.6774321,1286,2663,921.0493281
la26_25_1,1263,2213,742.389926,1259,2915,1019.405406
la26_25_2,1236,2582,885.840018,1278,2942,651.0002689
la26_25_3,1255,2618,885.9843531,1278,2951,609.1249704
la26_50_1,1260,2285,760.1405501,1307,2591,523.7378826
la26_50_2,1255,2897,990.5499694,1265,2879,598.183974
la26_50_3,1260,2168,710.5319538,1276,2744,566.530617
la26_75_1,1258,2924,1000.890726,1270,2366,477.6058798
la26_75_2,1264,2429,810.9958227,1254,2960,608.099329
la26_75_3,1261,2114,691.2203751,1279,2420,489.2498803
la31_100_1,1788,2978,1602.051478,1788,4634,1501.89131
la31_100_2,1785,4175,2236.229543,1785,5687,3061.248258
la31_100_3,1777,3617,1508.835345,1777,4868,2655.212605
la31_25_1,1786,3428,1808.856305,1786,5291,2884.171526
la31_25_2,1782,3059,1746.06635,1782,4499,2344.352592
la31_25_3,1776,3572,1920.298849,1776,4706,2524.10654
la31_50_1,1787,3356,1816.63126,1787,5489,2976.046761
la31_50_2,1781,2447,1332.06097,1781,5111,2770.735208
la31_50_3,1776,4913,2707.510333,1776,4175,2082.484848
la31_75_1,1789,3347,1771.562612,1789,5984,3277.375246
la31_75_2,1768,3527,1909.322268,1768,5165,2797.795427
la31_75_3,1777,3788,2092.990972,1777,4157,2264.282292
ta21_100_1,1828,2240,1500.812945,1892,2600,1648.560896
ta21_100_2,1876,2357,1522.812501,1835,2726,1739.06391
ta21_100_3,1823,2078,1281.607543,1867,2672,1406.173405
ta21_25_1,1830,2456,1551.623515,1863,2933,1268.034971
ta21_25_2,1890,2447,1544.751879,1861,2645,1092.865247
ta21_25_3,1849,2384,1498.627161,1867,3221,1429.695631
ta21_50_1,1824,458,273.0427163,1843,2600,1140.933186
ta21_50_2,1829,2546,1611.846859,1873,3311,1362.764617
ta21_50_3,1868,2339,1463.875295,1867,2762,1079.227447
ta21_75_1,1831,2069,1281.905793,1800,3257,1323.236878
ta21_75_2,1824,2348,1486.657405,1828,3563,1432.786495
ta21_75_3,1831,2519,1614.014452,1813,2915,1132.781266
ta41_100_1,2355,3356,3609.98624,2380,4814,3208.967867
ta41_100_2,2358,3293,3607.794006,2243,5363,3606.050903
ta41_100_3,2331,3347,3605.624717,2344,4805,3209.213523
ta41_25_1,2296,3131,3342.125637,2353,5399,3601.236166
ta41_25_2,2345,3356,3607.280833,2327,5399,3547.576838
ta41_25_3,2327,3356,3608.890357,2317,5390,3604.125436
ta41_50_1,2352,3356,3607.120012,2326,5417,3601.672621
ta41_50_2,2363,3356,3608.330365,2367,5129,3399.859444
ta41_50_3,2337,3149,3400.065009,2402,5408,3603.078066
ta41_75_1,2321,3239,3609.91411,2313,4796,3195.01536
ta41_75_2,2408,3230,3609.851387,2322,5237,3605.623491
ta41_75_3,2326,3239,3601.702994,2332,3473,3600.436859
