,rescheduling-gauss-time-trained,converged_iterations,total_time
ft10_100_1,1087.0,10.0,0.7810866832733154
ft10_100_2,1097.0,10.0,0.7923953533172607
ft10_100_3,1062.0,10.0,0.7664692401885986
ft10_25_1,986.0,10.0,0.79667067527771
ft10_25_2,994.0,10.0,0.8208379745483398
ft10_25_3,1036.0,10.0,0.8150753974914551
ft10_50_1,1075.0,10.0,0.848625659942627
ft10_50_2,1031.0,10.0,0.7666981220245361
ft10_50_3,989.0,10.0,0.7807798385620117
ft10_75_1,991.0,10.0,0.7967963218688965
ft10_75_2,980.0,10.0,0.8022944927215576
ft10_75_3,997.0,10.0,0.836503267288208
la26_100_1,1297.0,10.0,1.828089952468872
la26_100_2,1269.0,10.0,1.796327829360962
la26_100_3,1292.0,10.0,1.8437578678131104
la26_25_1,1297.0,10.0,1.8351447582244873
la26_25_2,1305.0,10.0,1.780752420425415
la26_25_3,1258.0,10.0,1.8597137928009033
la26_50_1,1273.0,10.0,1.8435616493225098
la26_50_2,1268.0,10.0,1.8547518253326416
la26_50_3,1278.0,10.0,1.8975553512573242
la26_75_1,1373.0,10.0,1.7815253734588623
la26_75_2,1290.0,10.0,1.8281440734863281
la26_75_3,1295.0,10.0,1.8764770030975342
la31_100_1,1788.0,10.0,3.1115798950195312
la31_100_2,1802.0,10.0,3.435544490814209
la31_100_3,1815.0,10.0,3.2238805294036865
la31_25_1,1799.0,10.0,3.190183162689209
la31_25_2,1805.0,10.0,3.3284249305725098
la31_25_3,1789.0,10.0,3.1560120582580566
la31_50_1,1798.0,10.0,3.1438112258911133
la31_50_2,1795.0,10.0,3.0952889919281006
la31_50_3,1782.0,10.0,3.0313210487365723
la31_75_1,1789.0,10.0,3.155700445175171
la31_75_2,1799.0,10.0,3.1411609649658203
la31_75_3,1809.0,10.0,3.17140793800354
ta21_100_1,1840.0,10.0,3.7976889610290527
ta21_100_2,1986.0,10.0,3.7650864124298096
ta21_100_3,1887.0,10.0,3.781935214996338
ta21_25_1,1830.0,10.0,3.890273332595825
ta21_25_2,1925.0,10.0,3.8007261753082275
ta21_25_3,1945.0,10.0,3.7649505138397217
ta21_50_1,1884.0,10.0,3.882795572280884
ta21_50_2,1859.0,10.0,3.9162282943725586
ta21_50_3,1946.0,10.0,3.8839852809906006
ta21_75_1,1872.0,10.0,3.868621826171875
ta21_75_2,1977.0,10.0,3.874272346496582
ta21_75_3,2026.0,10.0,3.9060356616973877
ta41_100_1,2501.0,10.0,6.43473219871521
ta41_100_2,2412.0,10.0,6.5613508224487305
ta41_100_3,2442.0,10.0,6.379300355911255
ta41_25_1,2536.0,10.0,6.5784385204315186
ta41_25_2,2410.0,10.0,6.484668731689453
ta41_25_3,2556.0,10.0,6.609432935714722
ta41_50_1,2465.0,10.0,6.453226804733276
ta41_50_2,2481.0,10.0,6.39018440246582
ta41_50_3,2511.0,10.0,6.430603742599487
ta41_75_1,2389.0,10.0,6.6338183879852295
ta41_75_2,2354.0,10.0,6.6558837890625
ta41_75_3,2492.0,10.0,6.515706539154053
